date_from,date_to,location,product,cap_price_kes,month_from
2024-11-15,2024-12-14,Ahero,Diesel (AGO),168.44,2024-11-01
2024-12-15,2025-01-14,Ahero,Diesel (AGO),165.44,2024-12-01
2025-01-15,2025-02-14,Ahero,Diesel (AGO),167.44,2025-01-01
2025-02-15,2025-03-14,Ahero,Diesel (AGO),167.44,2025-02-01
2025-03-15,2025-04-14,Ahero,Diesel (AGO),167.44,2025-03-01
2025-04-15,2025-05-14,Ahero,Diesel (AGO),165.24,2025-04-01
2025-05-15,2025-06-14,Ahero,Diesel (AGO),165.24,2025-05-01
2025-06-15,2025-07-14,Ahero,Diesel (AGO),163.23,2025-06-01
2025-07-15,2025-08-14,Ahero,Diesel (AGO),171.78,2025-07-01
2025-08-15,2025-09-14,Ahero,Diesel (AGO),171.78,2025-08-01
2025-09-15,2025-10-14,Ahero,Diesel (AGO),171.68,2025-09-01
2025-10-15,2025-11-14,Ahero,Diesel (AGO),171.68,2025-10-01
2025-11-15,2025-12-14,Ahero,Diesel (AGO),171.68,2025-11-01
2025-12-15,2026-01-14,Ahero,Diesel (AGO),171.68,2025-12-01
2026-01-15,2026-02-14,Ahero,Diesel (AGO),170.68,2026-01-01
2026-01-15,2026-02-14,Ahero,Diesel (AGO),170.68,2026-01-01
2026-01-15,2026-02-14,Ahero,Diesel (AGO),170.68,2026-01-01
2024-11-15,2024-12-14,Ahero,Kerosene (IK),151.82,2024-11-01
2024-12-15,2025-01-14,Ahero,Kerosene (IK),148.82,2024-12-01
2025-01-15,2025-02-14,Ahero,Kerosene (IK),151.82,2025-01-01
2025-02-15,2025-03-14,Ahero,Kerosene (IK),151.82,2025-02-01
2025-03-15,2025-04-14,Ahero,Kerosene (IK),151.82,2025-03-01
2025-04-15,2025-05-14,Ahero,Kerosene (IK),149.42,2025-04-01
2025-05-15,2025-06-14,Ahero,Kerosene (IK),149.42,2025-05-01
2025-06-15,2025-07-14,Ahero,Kerosene (IK),147.3,2025-06-01
2025-07-15,2025-08-14,Ahero,Kerosene (IK),156.83,2025-07-01
2025-08-15,2025-09-14,Ahero,Kerosene (IK),155.83,2025-08-01
2025-09-15,2025-10-14,Ahero,Kerosene (IK),155.03,2025-09-01
2025-10-15,2025-11-14,Ahero,Kerosene (IK),155.03,2025-10-01
2025-11-15,2025-12-14,Ahero,Kerosene (IK),155.03,2025-11-01
2025-12-15,2026-01-14,Ahero,Kerosene (IK),155.03,2025-12-01
2026-01-15,2026-02-14,Ahero,Kerosene (IK),154.03,2026-01-01
2026-01-15,2026-02-14,Ahero,Kerosene (IK),154.03,2026-01-01
2026-01-15,2026-02-14,Ahero,Kerosene (IK),154.03,2026-01-01
2024-11-15,2024-12-14,Ahero,Super (PMS),180.68,2024-11-01
2024-12-15,2025-01-14,Ahero,Super (PMS),176.33,2024-12-01
2025-01-15,2025-02-14,Ahero,Super (PMS),176.62,2025-01-01
2025-02-15,2025-03-14,Ahero,Super (PMS),176.62,2025-02-01
2025-03-15,2025-04-14,Ahero,Super (PMS),176.62,2025-03-01
2025-04-15,2025-05-14,Ahero,Super (PMS),174.67,2025-04-01
2025-05-15,2025-06-14,Ahero,Super (PMS),174.67,2025-05-01
2025-06-15,2025-07-14,Ahero,Super (PMS),177.28,2025-06-01
2025-07-15,2025-08-14,Ahero,Super (PMS),186.15,2025-07-01
2025-08-15,2025-09-14,Ahero,Super (PMS),185.16,2025-08-01
2025-09-15,2025-10-14,Ahero,Super (PMS),184.37,2025-09-01
2025-10-15,2025-11-14,Ahero,Super (PMS),184.37,2025-10-01
2025-11-15,2025-12-14,Ahero,Super (PMS),184.37,2025-11-01
2025-12-15,2026-01-14,Ahero,Super (PMS),184.37,2025-12-01
2026-01-15,2026-02-14,Ahero,Super (PMS),182.37,2026-01-01
2026-01-15,2026-02-14,Ahero,Super (PMS),182.37,2026-01-01
2026-01-15,2026-02-14,Ahero,Super (PMS),182.37,2026-01-01
2024-11-15,2024-12-14,Alale,Diesel (AGO),170.6,2024-11-01
2024-12-15,2025-01-14,Alale,Diesel (AGO),167.6,2024-12-01
2025-01-15,2025-02-14,Alale,Diesel (AGO),169.6,2025-01-01
2025-02-15,2025-03-14,Alale,Diesel (AGO),169.6,2025-02-01
2025-03-15,2025-04-14,Alale,Diesel (AGO),169.6,2025-03-01
2025-04-15,2025-05-14,Alale,Diesel (AGO),167.4,2025-04-01
2025-05-15,2025-06-14,Alale,Diesel (AGO),167.4,2025-05-01
2025-06-15,2025-07-14,Alale,Diesel (AGO),165.87,2025-06-01
2025-07-15,2025-08-14,Alale,Diesel (AGO),174.89,2025-07-01
2025-08-15,2025-09-14,Alale,Diesel (AGO),174.89,2025-08-01
2025-09-15,2025-10-14,Alale,Diesel (AGO),174.79,2025-09-01
2025-10-15,2025-11-14,Alale,Diesel (AGO),174.79,2025-10-01
2025-11-15,2025-12-14,Alale,Diesel (AGO),174.79,2025-11-01
2025-12-15,2026-01-14,Alale,Diesel (AGO),174.79,2025-12-01
2026-01-15,2026-02-14,Alale,Diesel (AGO),173.79,2026-01-01
2026-01-15,2026-02-14,Alale,Diesel (AGO),173.79,2026-01-01
2026-01-15,2026-02-14,Alale,Diesel (AGO),173.79,2026-01-01
2024-11-15,2024-12-14,Alale,Kerosene (IK),153.98,2024-11-01
2024-12-15,2025-01-14,Alale,Kerosene (IK),150.98,2024-12-01
2025-01-15,2025-02-14,Alale,Kerosene (IK),153.98,2025-01-01
2025-02-15,2025-03-14,Alale,Kerosene (IK),153.98,2025-02-01
2025-03-15,2025-04-14,Alale,Kerosene (IK),153.98,2025-03-01
2025-04-15,2025-05-14,Alale,Kerosene (IK),151.58,2025-04-01
2025-05-15,2025-06-14,Alale,Kerosene (IK),151.58,2025-05-01
2025-06-15,2025-07-14,Alale,Kerosene (IK),149.93,2025-06-01
2025-07-15,2025-08-14,Alale,Kerosene (IK),159.94,2025-07-01
2025-08-15,2025-09-14,Alale,Kerosene (IK),158.94,2025-08-01
2025-09-15,2025-10-14,Alale,Kerosene (IK),158.14,2025-09-01
2025-10-15,2025-11-14,Alale,Kerosene (IK),158.14,2025-10-01
2025-11-15,2025-12-14,Alale,Kerosene (IK),158.14,2025-11-01
2025-12-15,2026-01-14,Alale,Kerosene (IK),158.14,2025-12-01
2026-01-15,2026-02-14,Alale,Kerosene (IK),157.14,2026-01-01
2026-01-15,2026-02-14,Alale,Kerosene (IK),157.14,2026-01-01
2026-01-15,2026-02-14,Alale,Kerosene (IK),157.14,2026-01-01
2024-11-15,2024-12-14,Alale,Super (PMS),182.84,2024-11-01
2024-12-15,2025-01-14,Alale,Super (PMS),178.49,2024-12-01
2025-01-15,2025-02-14,Alale,Super (PMS),178.78,2025-01-01
2025-02-15,2025-03-14,Alale,Super (PMS),178.78,2025-02-01
2025-03-15,2025-04-14,Alale,Super (PMS),178.78,2025-03-01
2025-04-15,2025-05-14,Alale,Super (PMS),176.83,2025-04-01
2025-05-15,2025-06-14,Alale,Super (PMS),176.83,2025-05-01
2025-06-15,2025-07-14,Alale,Super (PMS),179.92,2025-06-01
2025-07-15,2025-08-14,Alale,Super (PMS),189.25,2025-07-01
2025-08-15,2025-09-14,Alale,Super (PMS),188.27,2025-08-01
2025-09-15,2025-10-14,Alale,Super (PMS),187.48,2025-09-01
2025-10-15,2025-11-14,Alale,Super (PMS),187.48,2025-10-01
2025-11-15,2025-12-14,Alale,Super (PMS),187.48,2025-11-01
2025-12-15,2026-01-14,Alale,Super (PMS),187.48,2025-12-01
2026-01-15,2026-02-14,Alale,Super (PMS),185.48,2026-01-01
2026-01-15,2026-02-14,Alale,Super (PMS),185.48,2026-01-01
2026-01-15,2026-02-14,Alale,Super (PMS),185.48,2026-01-01
2024-11-15,2024-12-14,Archers Post,Diesel (AGO),171.1,2024-11-01
2024-12-15,2025-01-14,Archers Post,Diesel (AGO),168.1,2024-12-01
2025-01-15,2025-02-14,Archers Post,Diesel (AGO),170.1,2025-01-01
2025-02-15,2025-03-14,Archers Post,Diesel (AGO),170.1,2025-02-01
2025-03-15,2025-04-14,Archers Post,Diesel (AGO),170.1,2025-03-01
2025-04-15,2025-05-14,Archers Post,Diesel (AGO),167.9,2025-04-01
2025-05-15,2025-06-14,Archers Post,Diesel (AGO),167.9,2025-05-01
2025-06-15,2025-07-14,Archers Post,Diesel (AGO),166.76,2025-06-01
2025-07-15,2025-08-14,Archers Post,Diesel (AGO),176.2,2025-07-01
2025-08-15,2025-09-14,Archers Post,Diesel (AGO),176.2,2025-08-01
2025-09-15,2025-10-14,Archers Post,Diesel (AGO),176.09,2025-09-01
2025-10-15,2025-11-14,Archers Post,Diesel (AGO),176.09,2025-10-01
2025-11-15,2025-12-14,Archers Post,Diesel (AGO),176.09,2025-11-01
2025-12-15,2026-01-14,Archers Post,Diesel (AGO),176.09,2025-12-01
2026-01-15,2026-02-14,Archers Post,Diesel (AGO),175.09,2026-01-01
2026-01-15,2026-02-14,Archers Post,Diesel (AGO),175.09,2026-01-01
2026-01-15,2026-02-14,Archers Post,Diesel (AGO),175.09,2026-01-01
2024-11-15,2024-12-14,Archers Post,Kerosene (IK),154.48,2024-11-01
2024-12-15,2025-01-14,Archers Post,Kerosene (IK),151.48,2024-12-01
2025-01-15,2025-02-14,Archers Post,Kerosene (IK),154.48,2025-01-01
2025-02-15,2025-03-14,Archers Post,Kerosene (IK),154.48,2025-02-01
2025-03-15,2025-04-14,Archers Post,Kerosene (IK),154.48,2025-03-01
2025-04-15,2025-05-14,Archers Post,Kerosene (IK),152.08,2025-04-01
2025-05-15,2025-06-14,Archers Post,Kerosene (IK),152.08,2025-05-01
2025-06-15,2025-07-14,Archers Post,Kerosene (IK),150.82,2025-06-01
2025-07-15,2025-08-14,Archers Post,Kerosene (IK),161.24,2025-07-01
2025-08-15,2025-09-14,Archers Post,Kerosene (IK),160.24,2025-08-01
2025-09-15,2025-10-14,Archers Post,Kerosene (IK),159.44,2025-09-01
2025-10-15,2025-11-14,Archers Post,Kerosene (IK),159.44,2025-10-01
2025-11-15,2025-12-14,Archers Post,Kerosene (IK),159.44,2025-11-01
2025-12-15,2026-01-14,Archers Post,Kerosene (IK),159.44,2025-12-01
2026-01-15,2026-02-14,Archers Post,Kerosene (IK),158.44,2026-01-01
2026-01-15,2026-02-14,Archers Post,Kerosene (IK),158.44,2026-01-01
2026-01-15,2026-02-14,Archers Post,Kerosene (IK),158.44,2026-01-01
2024-11-15,2024-12-14,Archers Post,Super (PMS),183.34,2024-11-01
2024-12-15,2025-01-14,Archers Post,Super (PMS),178.99,2024-12-01
2025-01-15,2025-02-14,Archers Post,Super (PMS),179.28,2025-01-01
2025-02-15,2025-03-14,Archers Post,Super (PMS),179.28,2025-02-01
2025-03-15,2025-04-14,Archers Post,Super (PMS),179.28,2025-03-01
2025-04-15,2025-05-14,Archers Post,Super (PMS),177.33,2025-04-01
2025-05-15,2025-06-14,Archers Post,Super (PMS),177.33,2025-05-01
2025-06-15,2025-07-14,Archers Post,Super (PMS),180.82,2025-06-01
2025-07-15,2025-08-14,Archers Post,Super (PMS),190.56,2025-07-01
2025-08-15,2025-09-14,Archers Post,Super (PMS),189.58,2025-08-01
2025-09-15,2025-10-14,Archers Post,Super (PMS),188.79,2025-09-01
2025-10-15,2025-11-14,Archers Post,Super (PMS),188.79,2025-10-01
2025-11-15,2025-12-14,Archers Post,Super (PMS),188.79,2025-11-01
2025-12-15,2026-01-14,Archers Post,Super (PMS),188.79,2025-12-01
2026-01-15,2026-02-14,Archers Post,Super (PMS),186.79,2026-01-01
2026-01-15,2026-02-14,Archers Post,Super (PMS),186.79,2026-01-01
2026-01-15,2026-02-14,Archers Post,Super (PMS),186.79,2026-01-01
2024-11-15,2024-12-14,Arror,Diesel (AGO),169.46,2024-11-01
2024-12-15,2025-01-14,Arror,Diesel (AGO),166.46,2024-12-01
2025-01-15,2025-02-14,Arror,Diesel (AGO),168.46,2025-01-01
2025-02-15,2025-03-14,Arror,Diesel (AGO),168.46,2025-02-01
2025-03-15,2025-04-14,Arror,Diesel (AGO),168.46,2025-03-01
2025-04-15,2025-05-14,Arror,Diesel (AGO),166.26,2025-04-01
2025-05-15,2025-06-14,Arror,Diesel (AGO),166.26,2025-05-01
2025-06-15,2025-07-14,Arror,Diesel (AGO),164.37,2025-06-01
2025-07-15,2025-08-14,Arror,Diesel (AGO),173.06,2025-07-01
2025-08-15,2025-09-14,Arror,Diesel (AGO),173.06,2025-08-01
2025-09-15,2025-10-14,Arror,Diesel (AGO),172.96,2025-09-01
2025-10-15,2025-11-14,Arror,Diesel (AGO),172.96,2025-10-01
2025-11-15,2025-12-14,Arror,Diesel (AGO),172.96,2025-11-01
2025-12-15,2026-01-14,Arror,Diesel (AGO),172.96,2025-12-01
2026-01-15,2026-02-14,Arror,Diesel (AGO),171.96,2026-01-01
2026-01-15,2026-02-14,Arror,Diesel (AGO),171.96,2026-01-01
2026-01-15,2026-02-14,Arror,Diesel (AGO),171.96,2026-01-01
2024-11-15,2024-12-14,Arror,Kerosene (IK),152.84,2024-11-01
2024-12-15,2025-01-14,Arror,Kerosene (IK),149.84,2024-12-01
2025-01-15,2025-02-14,Arror,Kerosene (IK),152.84,2025-01-01
2025-02-15,2025-03-14,Arror,Kerosene (IK),152.84,2025-02-01
2025-03-15,2025-04-14,Arror,Kerosene (IK),152.84,2025-03-01
2025-04-15,2025-05-14,Arror,Kerosene (IK),150.44,2025-04-01
2025-05-15,2025-06-14,Arror,Kerosene (IK),150.44,2025-05-01
2025-06-15,2025-07-14,Arror,Kerosene (IK),148.44,2025-06-01
2025-07-15,2025-08-14,Arror,Kerosene (IK),158.11,2025-07-01
2025-08-15,2025-09-14,Arror,Kerosene (IK),157.11,2025-08-01
2025-09-15,2025-10-14,Arror,Kerosene (IK),156.31,2025-09-01
2025-10-15,2025-11-14,Arror,Kerosene (IK),156.31,2025-10-01
2025-11-15,2025-12-14,Arror,Kerosene (IK),156.31,2025-11-01
2025-12-15,2026-01-14,Arror,Kerosene (IK),156.31,2025-12-01
2026-01-15,2026-02-14,Arror,Kerosene (IK),155.31,2026-01-01
2026-01-15,2026-02-14,Arror,Kerosene (IK),155.31,2026-01-01
2026-01-15,2026-02-14,Arror,Kerosene (IK),155.31,2026-01-01
2024-11-15,2024-12-14,Arror,Super (PMS),181.7,2024-11-01
2024-12-15,2025-01-14,Arror,Super (PMS),177.35,2024-12-01
2025-01-15,2025-02-14,Arror,Super (PMS),177.64,2025-01-01
2025-02-15,2025-03-14,Arror,Super (PMS),177.64,2025-02-01
2025-03-15,2025-04-14,Arror,Super (PMS),177.64,2025-03-01
2025-04-15,2025-05-14,Arror,Super (PMS),175.69,2025-04-01
2025-05-15,2025-06-14,Arror,Super (PMS),175.69,2025-05-01
2025-06-15,2025-07-14,Arror,Super (PMS),178.43,2025-06-01
2025-07-15,2025-08-14,Arror,Super (PMS),187.42,2025-07-01
2025-08-15,2025-09-14,Arror,Super (PMS),186.44,2025-08-01
2025-09-15,2025-10-14,Arror,Super (PMS),185.65,2025-09-01
2025-10-15,2025-11-14,Arror,Super (PMS),185.65,2025-10-01
2025-11-15,2025-12-14,Arror,Super (PMS),185.65,2025-11-01
2025-12-15,2026-01-14,Arror,Super (PMS),185.65,2025-12-01
2026-01-15,2026-02-14,Arror,Super (PMS),183.65,2026-01-01
2026-01-15,2026-02-14,Arror,Super (PMS),183.65,2026-01-01
2026-01-15,2026-02-14,Arror,Super (PMS),183.65,2026-01-01
2024-11-15,2024-12-14,Asembo,Diesel (AGO),168.54,2024-11-01
2024-12-15,2025-01-14,Asembo,Diesel (AGO),165.54,2024-12-01
2025-01-15,2025-02-14,Asembo,Diesel (AGO),167.54,2025-01-01
2025-02-15,2025-03-14,Asembo,Diesel (AGO),167.54,2025-02-01
2025-03-15,2025-04-14,Asembo,Diesel (AGO),167.54,2025-03-01
2025-04-15,2025-05-14,Asembo,Diesel (AGO),165.34,2025-04-01
2025-05-15,2025-06-14,Asembo,Diesel (AGO),165.34,2025-05-01
2025-06-15,2025-07-14,Asembo,Diesel (AGO),163.15,2025-06-01
2025-07-15,2025-08-14,Asembo,Diesel (AGO),171.56,2025-07-01
2025-08-15,2025-09-14,Asembo,Diesel (AGO),171.56,2025-08-01
2025-09-15,2025-10-14,Asembo,Diesel (AGO),171.45,2025-09-01
2025-10-15,2025-11-14,Asembo,Diesel (AGO),171.45,2025-10-01
2025-11-15,2025-12-14,Asembo,Diesel (AGO),171.45,2025-11-01
2025-12-15,2026-01-14,Asembo,Diesel (AGO),171.45,2025-12-01
2026-01-15,2026-02-14,Asembo,Diesel (AGO),170.45,2026-01-01
2026-01-15,2026-02-14,Asembo,Diesel (AGO),170.45,2026-01-01
2026-01-15,2026-02-14,Asembo,Diesel (AGO),170.45,2026-01-01
2024-11-15,2024-12-14,Asembo,Kerosene (IK),151.9,2024-11-01
2024-12-15,2025-01-14,Asembo,Kerosene (IK),148.9,2024-12-01
2025-01-15,2025-02-14,Asembo,Kerosene (IK),151.9,2025-01-01
2025-02-15,2025-03-14,Asembo,Kerosene (IK),151.9,2025-02-01
2025-03-15,2025-04-14,Asembo,Kerosene (IK),151.9,2025-03-01
2025-04-15,2025-05-14,Asembo,Kerosene (IK),149.5,2025-04-01
2025-05-15,2025-06-14,Asembo,Kerosene (IK),149.5,2025-05-01
2025-06-15,2025-07-14,Asembo,Kerosene (IK),147.22,2025-06-01
2025-07-15,2025-08-14,Asembo,Kerosene (IK),156.6,2025-07-01
2025-08-15,2025-09-14,Asembo,Kerosene (IK),155.6,2025-08-01
2025-09-15,2025-10-14,Asembo,Kerosene (IK),154.8,2025-09-01
2025-10-15,2025-11-14,Asembo,Kerosene (IK),154.8,2025-10-01
2025-11-15,2025-12-14,Asembo,Kerosene (IK),154.8,2025-11-01
2025-12-15,2026-01-14,Asembo,Kerosene (IK),154.8,2025-12-01
2026-01-15,2026-02-14,Asembo,Kerosene (IK),153.8,2026-01-01
2026-01-15,2026-02-14,Asembo,Kerosene (IK),153.8,2026-01-01
2026-01-15,2026-02-14,Asembo,Kerosene (IK),153.8,2026-01-01
2024-11-15,2024-12-14,Asembo,Super (PMS),180.76,2024-11-01
2024-12-15,2025-01-14,Asembo,Super (PMS),176.41,2024-12-01
2025-01-15,2025-02-14,Asembo,Super (PMS),176.7,2025-01-01
2025-02-15,2025-03-14,Asembo,Super (PMS),176.7,2025-02-01
2025-03-15,2025-04-14,Asembo,Super (PMS),176.7,2025-03-01
2025-04-15,2025-05-14,Asembo,Super (PMS),174.75,2025-04-01
2025-05-15,2025-06-14,Asembo,Super (PMS),174.75,2025-05-01
2025-06-15,2025-07-14,Asembo,Super (PMS),177.21,2025-06-01
2025-07-15,2025-08-14,Asembo,Super (PMS),185.91,2025-07-01
2025-08-15,2025-09-14,Asembo,Super (PMS),184.94,2025-08-01
2025-09-15,2025-10-14,Asembo,Super (PMS),184.15,2025-09-01
2025-10-15,2025-11-14,Asembo,Super (PMS),184.15,2025-10-01
2025-11-15,2025-12-14,Asembo,Super (PMS),184.15,2025-11-01
2025-12-15,2026-01-14,Asembo,Super (PMS),184.15,2025-12-01
2026-01-15,2026-02-14,Asembo,Super (PMS),182.15,2026-01-01
2026-01-15,2026-02-14,Asembo,Super (PMS),182.15,2026-01-01
2026-01-15,2026-02-14,Asembo,Super (PMS),182.15,2026-01-01
2024-11-15,2024-12-14,Asilong,Diesel (AGO),169.8,2024-11-01
2024-12-15,2025-01-14,Asilong,Diesel (AGO),166.8,2024-12-01
2025-01-15,2025-02-14,Asilong,Diesel (AGO),168.8,2025-01-01
2025-02-15,2025-03-14,Asilong,Diesel (AGO),168.8,2025-02-01
2025-03-15,2025-04-14,Asilong,Diesel (AGO),168.8,2025-03-01
2025-04-15,2025-05-14,Asilong,Diesel (AGO),166.6,2025-04-01
2025-05-15,2025-06-14,Asilong,Diesel (AGO),166.6,2025-05-01
2025-06-15,2025-07-14,Asilong,Diesel (AGO),164.81,2025-06-01
2025-07-15,2025-08-14,Asilong,Diesel (AGO),173.59,2025-07-01
2025-08-15,2025-09-14,Asilong,Diesel (AGO),173.59,2025-08-01
2025-09-15,2025-10-14,Asilong,Diesel (AGO),173.49,2025-09-01
2025-10-15,2025-11-14,Asilong,Diesel (AGO),173.49,2025-10-01
2025-11-15,2025-12-14,Asilong,Diesel (AGO),173.49,2025-11-01
2025-12-15,2026-01-14,Asilong,Diesel (AGO),173.49,2025-12-01
2026-01-15,2026-02-14,Asilong,Diesel (AGO),172.49,2026-01-01
2026-01-15,2026-02-14,Asilong,Diesel (AGO),172.49,2026-01-01
2026-01-15,2026-02-14,Asilong,Diesel (AGO),172.49,2026-01-01
2024-11-15,2024-12-14,Asilong,Kerosene (IK),153.18,2024-11-01
2024-12-15,2025-01-14,Asilong,Kerosene (IK),150.18,2024-12-01
2025-01-15,2025-02-14,Asilong,Kerosene (IK),153.18,2025-01-01
2025-02-15,2025-03-14,Asilong,Kerosene (IK),153.18,2025-02-01
2025-03-15,2025-04-14,Asilong,Kerosene (IK),153.18,2025-03-01
2025-04-15,2025-05-14,Asilong,Kerosene (IK),150.78,2025-04-01
2025-05-15,2025-06-14,Asilong,Kerosene (IK),150.78,2025-05-01
2025-06-15,2025-07-14,Asilong,Kerosene (IK),148.87,2025-06-01
2025-07-15,2025-08-14,Asilong,Kerosene (IK),158.64,2025-07-01
2025-08-15,2025-09-14,Asilong,Kerosene (IK),157.64,2025-08-01
2025-09-15,2025-10-14,Asilong,Kerosene (IK),156.84,2025-09-01
2025-10-15,2025-11-14,Asilong,Kerosene (IK),156.84,2025-10-01
2025-11-15,2025-12-14,Asilong,Kerosene (IK),156.84,2025-11-01
2025-12-15,2026-01-14,Asilong,Kerosene (IK),156.84,2025-12-01
2026-01-15,2026-02-14,Asilong,Kerosene (IK),155.84,2026-01-01
2026-01-15,2026-02-14,Asilong,Kerosene (IK),155.84,2026-01-01
2026-01-15,2026-02-14,Asilong,Kerosene (IK),155.84,2026-01-01
2024-11-15,2024-12-14,Asilong,Super (PMS),182.04,2024-11-01
2024-12-15,2025-01-14,Asilong,Super (PMS),177.68,2024-12-01
2025-01-15,2025-02-14,Asilong,Super (PMS),177.98,2025-01-01
2025-02-15,2025-03-14,Asilong,Super (PMS),177.97,2025-02-01
2025-03-15,2025-04-14,Asilong,Super (PMS),177.97,2025-03-01
2025-04-15,2025-05-14,Asilong,Super (PMS),176.03,2025-04-01
2025-05-15,2025-06-14,Asilong,Super (PMS),176.03,2025-05-01
2025-06-15,2025-07-14,Asilong,Super (PMS),178.86,2025-06-01
2025-07-15,2025-08-14,Asilong,Super (PMS),187.96,2025-07-01
2025-08-15,2025-09-14,Asilong,Super (PMS),186.97,2025-08-01
2025-09-15,2025-10-14,Asilong,Super (PMS),186.18,2025-09-01
2025-10-15,2025-11-14,Asilong,Super (PMS),186.18,2025-10-01
2025-11-15,2025-12-14,Asilong,Super (PMS),186.18,2025-11-01
2025-12-15,2026-01-14,Asilong,Super (PMS),186.18,2025-12-01
2026-01-15,2026-02-14,Asilong,Super (PMS),184.18,2026-01-01
2026-01-15,2026-02-14,Asilong,Super (PMS),184.18,2026-01-01
2026-01-15,2026-02-14,Asilong,Super (PMS),184.18,2026-01-01
2024-11-15,2024-12-14,Awasi,Diesel (AGO),168.41,2024-11-01
2024-12-15,2025-01-14,Awasi,Diesel (AGO),165.41,2024-12-01
2025-01-15,2025-02-14,Awasi,Diesel (AGO),167.41,2025-01-01
2025-02-15,2025-03-14,Awasi,Diesel (AGO),167.41,2025-02-01
2025-03-15,2025-04-14,Awasi,Diesel (AGO),167.41,2025-03-01
2025-04-15,2025-05-14,Awasi,Diesel (AGO),165.21,2025-04-01
2025-05-15,2025-06-14,Awasi,Diesel (AGO),165.21,2025-05-01
2025-06-15,2025-07-14,Awasi,Diesel (AGO),162.99,2025-06-01
2025-07-15,2025-08-14,Awasi,Diesel (AGO),171.36,2025-07-01
2025-08-15,2025-09-14,Awasi,Diesel (AGO),171.36,2025-08-01
2025-09-15,2025-10-14,Awasi,Diesel (AGO),171.25,2025-09-01
2025-10-15,2025-11-14,Awasi,Diesel (AGO),171.25,2025-10-01
2025-11-15,2025-12-14,Awasi,Diesel (AGO),171.25,2025-11-01
2025-12-15,2026-01-14,Awasi,Diesel (AGO),171.25,2025-12-01
2026-01-15,2026-02-14,Awasi,Diesel (AGO),170.25,2026-01-01
2026-01-15,2026-02-14,Awasi,Diesel (AGO),170.25,2026-01-01
2026-01-15,2026-02-14,Awasi,Diesel (AGO),170.25,2026-01-01
2024-11-15,2024-12-14,Awasi,Kerosene (IK),151.79,2024-11-01
2024-12-15,2025-01-14,Awasi,Kerosene (IK),148.79,2024-12-01
2025-01-15,2025-02-14,Awasi,Kerosene (IK),151.79,2025-01-01
2025-02-15,2025-03-14,Awasi,Kerosene (IK),151.79,2025-02-01
2025-03-15,2025-04-14,Awasi,Kerosene (IK),151.79,2025-03-01
2025-04-15,2025-05-14,Awasi,Kerosene (IK),149.39,2025-04-01
2025-05-15,2025-06-14,Awasi,Kerosene (IK),149.39,2025-05-01
2025-06-15,2025-07-14,Awasi,Kerosene (IK),147.05,2025-06-01
2025-07-15,2025-08-14,Awasi,Kerosene (IK),156.4,2025-07-01
2025-08-15,2025-09-14,Awasi,Kerosene (IK),155.4,2025-08-01
2025-09-15,2025-10-14,Awasi,Kerosene (IK),154.6,2025-09-01
2025-10-15,2025-11-14,Awasi,Kerosene (IK),154.6,2025-10-01
2025-11-15,2025-12-14,Awasi,Kerosene (IK),154.6,2025-11-01
2025-12-15,2026-01-14,Awasi,Kerosene (IK),154.6,2025-12-01
2026-01-15,2026-02-14,Awasi,Kerosene (IK),153.6,2026-01-01
2026-01-15,2026-02-14,Awasi,Kerosene (IK),153.6,2026-01-01
2026-01-15,2026-02-14,Awasi,Kerosene (IK),153.6,2026-01-01
2024-11-15,2024-12-14,Awasi,Super (PMS),180.65,2024-11-01
2024-12-15,2025-01-14,Awasi,Super (PMS),176.29,2024-12-01
2025-01-15,2025-02-14,Awasi,Super (PMS),176.58,2025-01-01
2025-02-15,2025-03-14,Awasi,Super (PMS),176.58,2025-02-01
2025-03-15,2025-04-14,Awasi,Super (PMS),176.58,2025-03-01
2025-04-15,2025-05-14,Awasi,Super (PMS),174.63,2025-04-01
2025-05-15,2025-06-14,Awasi,Super (PMS),174.63,2025-05-01
2025-06-15,2025-07-14,Awasi,Super (PMS),177.05,2025-06-01
2025-07-15,2025-08-14,Awasi,Super (PMS),185.72,2025-07-01
2025-08-15,2025-09-14,Awasi,Super (PMS),184.73,2025-08-01
2025-09-15,2025-10-14,Awasi,Super (PMS),183.94,2025-09-01
2025-10-15,2025-11-14,Awasi,Super (PMS),183.94,2025-10-01
2025-11-15,2025-12-14,Awasi,Super (PMS),183.94,2025-11-01
2025-12-15,2026-01-14,Awasi,Super (PMS),183.94,2025-12-01
2026-01-15,2026-02-14,Awasi,Super (PMS),181.94,2026-01-01
2026-01-15,2026-02-14,Awasi,Super (PMS),181.94,2026-01-01
2026-01-15,2026-02-14,Awasi,Super (PMS),181.94,2026-01-01
2024-11-15,2024-12-14,Barwessa,Diesel (AGO),169.62,2024-11-01
2024-12-15,2025-01-14,Barwessa,Diesel (AGO),166.62,2024-12-01
2025-01-15,2025-02-14,Barwessa,Diesel (AGO),168.62,2025-01-01
2025-02-15,2025-03-14,Barwessa,Diesel (AGO),168.62,2025-02-01
2025-03-15,2025-04-14,Barwessa,Diesel (AGO),168.62,2025-03-01
2025-04-15,2025-05-14,Barwessa,Diesel (AGO),166.42,2025-04-01
2025-05-15,2025-06-14,Barwessa,Diesel (AGO),166.42,2025-05-01
2025-06-15,2025-07-14,Barwessa,Diesel (AGO),164.58,2025-06-01
