From,To,Town,Super (PMS),Diesel (AGO),Kerosene (IK),date_from,date_to,location
15-12-2025,14-01-2026,Mumias,184.57,171.88,155.23,2025-12-15,2026-01-14,Mumias
15-12-2025,14-01-2026,Kehancha,187.55,174.85,158.2,2025-12-15,2026-01-14,Kehancha
15-12-2025,14-01-2026,Malindi,182.47,169.42,152.72,2025-12-15,2026-01-14,Malindi
15-12-2025,14-01-2026,Nkubu,189.17,176.12,159.42,2025-12-15,2026-01-14,Nkubu
15-12-2025,14-01-2026,Loyangalani,198.05,185.0,168.3,2025-12-15,2026-01-14,Loyangalani
15-12-2025,14-01-2026,Burnt Forest,183.93,171.23,154.58,2025-12-15,2026-01-14,Burnt Forest
15-12-2025,14-01-2026,Kainuk,187.6,174.9,158.25,2025-12-15,2026-01-14,Kainuk
15-12-2025,14-01-2026,Sebit,186.17,173.47,156.82,2025-12-15,2026-01-14,Sebit
15-12-2025,14-01-2026,Rangwe,185.51,172.82,156.17,2025-12-15,2026-01-14,Rangwe
15-12-2025,14-01-2026,Kerugoya,185.92,172.87,156.18,2025-12-15,2026-01-14,Kerugoya
15-12-2025,14-01-2026,Mai Mahiu,184.36,171.31,154.61,2025-12-15,2026-01-14,Mai Mahiu
15-12-2025,14-01-2026,Naiberi,184.38,171.68,155.03,2025-12-15,2026-01-14,Naiberi
15-12-2025,14-01-2026,Lokichogio,196.05,183.35,166.7,2025-12-15,2026-01-14,Lokichogio
15-12-2025,14-01-2026,Tot,186.01,173.32,156.66,2025-12-15,2026-01-14,Tot
15-12-2025,14-01-2026,Mbita,185.4,172.7,156.05,2025-12-15,2026-01-14,Mbita
15-12-2025,14-01-2026,Marani,185.13,172.43,155.79,2025-12-15,2026-01-14,Marani
15-12-2025,14-01-2026,Marereni,183.6,170.56,153.86,2025-12-15,2026-01-14,Marereni
15-12-2025,14-01-2026,Wajir,200.17,187.12,170.43,2025-12-15,2026-01-14,Wajir
15-12-2025,14-01-2026,Naivasha,183.76,171.06,154.41,2025-12-15,2026-01-14,Naivasha
15-12-2025,14-01-2026,Sigor,187.04,174.34,157.69,2025-12-15,2026-01-14,Sigor
15-12-2025,14-01-2026,O'lessos,184.13,171.44,154.78,2025-12-15,2026-01-14,O'lessos
15-12-2025,14-01-2026,Kisii,185.53,172.84,156.18,2025-12-15,2026-01-14,Kisii
15-12-2025,14-01-2026,Kimilili,185.67,172.97,156.32,2025-12-15,2026-01-14,Kimilili
15-12-2025,14-01-2026,Hola,187.07,174.02,157.33,2025-12-15,2026-01-14,Hola
15-12-2025,14-01-2026,Garissa,191.36,178.3,161.61,2025-12-15,2026-01-14,Garissa
15-12-2025,14-01-2026,Nakuru,183.56,170.87,154.21,2025-12-15,2026-01-14,Nakuru
