date,month,PMS,AGO,Kero,Price Per Barell,Exrates,Local Price in KSH
2016-03-14,2016-03-01,85.58,65.7,42.15,37.55,101.485385714286,64.4766666666667
2016-04-14,2016-04-01,80.71,66.23,43.96,40.75,101.228433333333,63.6333333333333
2016-05-14,2016-05-01,84.25,70.37,46.98,46.71,100.732338095238,67.2
2016-06-14,2016-06-01,86.17,73.71,50.8,48.76,101.144633333333,70.2266666666667
2016-07-14,2016-07-01,93.93,83.24,61.45,44.65,101.331565,79.54
2016-08-14,2016-08-01,95.13,84.51,62.48,44.72,101.410243478261,80.7066666666667
2016-09-14,2016-09-01,91.39,82.46,59.1,45.18,101.271190476191,77.65
2016-10-14,2016-10-01,91.56,82.12,58.71,49.78,101.32341,77.4633333333333
2016-11-14,2016-11-01,94.94,82.17,62.16,45.66,101.748081818182,79.7566666666667
2016-12-14,2016-12-01,94.2,87.22,63.56,51.97,102.137815,81.66
2017-01-14,2017-01-01,96.01,84.23,63.44,52.5,103.746833333333,81.2266666666667
2017-02-14,2017-02-01,100.2,89.26,67.19,53.47,103.640561904762,85.55
2017-03-14,2017-03-01,101.0,90.44,61.96,49.33,102.848165217391,84.4666666666667
2017-04-14,2017-04-01,98.0,88.62,64.38,51.06,103.325377777778,83.6666666666667
2017-05-14,2017-05-01,99.59,88.05,65.28,48.48,103.261768181818,84.3066666666667
2017-06-14,2017-06-01,98.73,86.89,65.35,45.18,103.499747619048,83.6566666666667
2017-07-14,2017-07-01,97.1,84.46,62.56,46.63,103.877104761905,81.3733333333333
2017-08-14,2017-08-01,96.08,85.86,63.42,48.04,103.5557,81.7866666666667
2017-09-14,2017-09-01,98.3,85.86,64.36,49.82,103.127968181818,82.84
2017-10-14,2017-10-01,101.6,88.71,66.18,51.58,103.403305,85.4966666666667
2017-11-14,2017-11-01,102.7,92.41,71.23,56.64,103.57120952381,88.78
2017-12-14,2017-12-01,104.1,92.44,71.42,57.88,103.095316666667,89.32
2018-01-14,2018-01-01,106.3,94.82,74.78,63.7,102.917986363636,91.9666666666667
2018-02-14,2018-02-01,107.92,96.96,76.75,,101.3888,93.8766666666667
